"Name","DNSHostName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion","IPv4Address","Lastlogondate"
"ZIAD-HP","ZIAD-HP.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"06/04/2015 2:32:39 PM"
"HEJMDXBHM","HEJMDXBHM.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"AMJAD","amjad.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,
"HAMMAD-HP","HAMMAD-HP.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,
"IT-HP","IT-HP.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"15/06/2014 10:46:03 AM"
"HESPDXBFOMANGR","HESPDXBFOMANGR.hiexsp.ae","Windows XP Professional","Service Pack 2","5.1 (2600)",,"11/06/2014 11:24:43 AM"
"HESPDXBRESERV","HESPDXBRESERV.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"03/06/2014 10:01:50 AM"
"HESPDXBCHEF01","HESPDXBCHEF01.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"21/05/2014 11:41:46 AM"
"HESPDXBFANDB","HESPDXBFANDB.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"28/05/2014 5:25:54 PM"
"DIC-LPIT02","DIC-LPIT02.hiexsp.ae","Windows 10 Pro",,"10.0 (19041)",,"08/06/2020 9:39:06 AM"
"HP16313080532","HP16313080532.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"15/10/2014 4:49:36 PM"
"ADOSM-AHIASO","ADOSM-AHIASO.hiexsp.ae","Windows 7 Professional","Service Pack 1","6.1 (7601)",,"14/06/2014 1:40:15 PM"
"HEDXBSCNBBT2J","HEDXBSCNBBT2J.hiexsp.ae","Windows XP Professional","Service Pack 3","5.1 (2600)",,"05/11/2015 12:23:28 PM"
